"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00115922","42.07917","-87.94722","204.2","1995-11-21","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-22","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-23","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-25","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-26","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-27","0.44",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-28","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-29","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-11-30","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-02","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-03","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-04","0.02",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-05","0.12",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-06","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-07","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-08","0.22",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-09","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-10","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-11","0.19",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-12","0.10",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-13","0.09",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-15","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-16","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-17","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-18","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-19","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-20","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-21","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-22","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-23","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-25","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-26","0.04",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-27","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-28","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-29","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-30","0.13",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-12-31","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-01","0.03",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-02","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-03","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-04","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-05","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-06","0.07",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-07","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-08","0.03",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-09","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-10","0.16",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-11","0.23",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-15","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-16","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-17","0.70",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-18","0.31",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-19","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-20","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-21","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-01-22","0.00",,,,,
