ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7884268,HT108304,01/06/2011 05:30:00 PM,015XX N SEDGWICK ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,1821,018,43,8,06,1173364,1910604,2011,02/04/2016 06:33:39 AM,41.910121292,-87.638560993,"(41.910121292, -87.638560993)"
7879135,HT109508,01/06/2011 05:35:00 PM,001XX N STATE ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,CTA TRAIN,false,false,0122,001,42,32,03,1176330,1901649,2011,02/04/2016 06:33:39 AM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
7877758,HT108319,01/06/2011 06:00:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,1114,011,28,26,11,1149512,1901446,2011,02/04/2016 06:33:39 AM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)"
7883313,HT108316,01/06/2011 06:00:00 PM,046XX N BROADWAY,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,2311,019,46,3,03,1167942,1930944,2011,02/04/2016 06:33:39 AM,41.966053999,-87.657890403,"(41.966053999, -87.657890403)"
7877807,HT108415,01/06/2011 07:25:00 PM,005XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,true,false,1132,011,24,26,18,1149812,1897228,2011,02/04/2016 06:33:39 AM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
7877769,HT108441,01/06/2011 07:30:00 PM,0000X E ROOSEVELT RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0132,001,2,32,11,1176818,1895074,2011,02/04/2016 06:33:39 AM,41.867428687,-87.626342565,"(41.867428687, -87.626342565)"
7878075,HT108723,01/07/2011 12:03:00 AM,010XX W EISENHOWER EXPY IB,031A,ROBBERY,ARMED: HANDGUN,CTA TRAIN,true,false,1213,012,2,28,03,1169672,1897907,2011,02/04/2016 06:33:39 AM,41.875361155,-87.652493949,"(41.875361155, -87.652493949)"
7878259,HT108832,01/07/2011 04:00:00 AM,015XX N DAMEN AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1424,014,1,24,06,1162780,1910519,2011,02/04/2016 06:33:39 AM,41.910116718,-87.677444645,"(41.910116718, -87.677444645)"
7879072,HT109530,01/07/2011 04:00:00 AM,063XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,0722,003,20,68,08B,1176046,1863053,2011,02/04/2016 06:33:39 AM,41.779577735,-87.630138783,"(41.779577735, -87.630138783)"
7878304,HT108846,01/07/2011 06:15:00 AM,006XX N PULASKI RD,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,CTA BUS,true,false,1111,011,28,23,26,1149603,1904210,2011,02/04/2016 06:33:39 AM,41.89307048,-87.726016035,"(41.89307048, -87.726016035)"
